Timestamp,tmpc,dwpc,mslp,wdir,wspd,skct,pr1h,pr6h,doy,woy
2006-01-02 18:00:00,13.9,12.2,997.1,210.0,4.6,2.0,0.0,2.3,2,1
2006-01-03 12:00:00,5.0,4.4,1012.1,350.0,4.1,8.0,0.0,0.0,3,1
2006-01-04 06:00:00,5.0,5.0,1011.5,180.0,7.7,8.0,0.0,0.3,4,1
2006-01-11 00:00:00,3.9,3.3,1015.9,90.0,5.7,8.0,0.0,0.0,11,2
2006-01-11 06:00:00,7.2,6.7,1011.2,150.0,4.6,7.0,0.0,1.8,11,2
2006-01-11 12:00:00,1.1,0.0,1013.0,220.0,8.8,8.0,0.0,0.8,11,2
2006-01-11 18:00:00,3.3,2.2,1013.6,210.0,6.7,8.0,0.0,0.5,11,2
2006-01-13 12:00:00,10.0,7.8,999.0,180.0,6.2,8.0,0.0,0.0,13,2
2006-01-13 18:00:00,2.2,1.7,999.6,320.0,9.3,8.0,0.5,2.0,13,2
2006-01-14 00:00:00,0.6,0.0,1006.8,320.0,12.4,8.0,0.5,2.8,14,2
2006-01-14 06:00:00,-1.1,-3.9,1012.9,320.0,10.8,7.0,0.0,0.0,14,2
2006-01-17 06:00:00,3.9,2.8,1002.7,290.0,8.2,8.0,0.3,2.3,17,3
2006-01-17 12:00:00,1.1,0.0,1002.5,300.0,7.2,8.0,0.3,3.3,17,3
2006-01-17 18:00:00,-1.7,-3.9,1001.9,280.0,9.3,8.0,0.0,2.8,17,3
2006-01-18 00:00:00,-1.1,-5.0,1004.0,280.0,6.2,8.0,0.0,0.0,18,3
2006-01-18 12:00:00,-4.4,-8.3,1010.0,280.0,7.7,8.0,0.0,0.0,18,3
2006-01-20 18:00:00,6.7,3.3,1015.8,40.0,3.1,8.0,0.0,0.0,20,3
2006-01-21 00:00:00,12.2,10.0,1011.0,180.0,6.7,8.0,0.0,1.3,21,3
2006-01-21 06:00:00,2.2,1.1,1011.9,30.0,6.7,8.0,1.8,9.9,21,3
2006-01-21 12:00:00,-0.6,-1.7,1024.2,330.0,6.2,8.0,0.0,0.5,21,3
2006-01-25 00:00:00,3.3,-2.8,1015.1,290.0,11.8,7.0,0.0,0.0,25,4
2006-01-28 12:00:00,4.4,1.1,1023.1,140.0,3.1,8.0,0.0,0.0,28,4
2006-01-28 18:00:00,8.9,5.0,1018.8,170.0,5.7,7.0,0.3,0.3,28,4
2006-01-29 00:00:00,10.6,6.7,1011.4,140.0,4.6,8.0,0.0,0.0,29,4
2006-01-29 06:00:00,9.4,8.3,1001.2,160.0,8.2,8.0,0.5,11.2,29,4
2006-01-29 18:00:00,8.9,7.8,1001.0,240.0,9.3,8.0,0.0,0.0,29,4
2006-01-30 00:00:00,7.2,5.0,1005.6,250.0,7.7,8.0,0.0,0.3,30,5
2006-01-31 00:00:00,0.6,-0.6,1011.4,290.0,4.6,8.0,0.0,0.3,31,5
2006-01-31 06:00:00,1.1,-1.1,1013.7,280.0,5.1,8.0,0.0,0.0,31,5
2006-02-03 12:00:00,3.9,3.3,1003.3,230.0,3.1,8.0,0.0,0.0,34,5
2006-02-03 18:00:00,10.0,4.4,1005.5,250.0,3.6,4.0,0.0,0.0,34,5
2006-02-04 00:00:00,3.9,2.2,1008.8,300.0,8.2,8.0,0.0,1.0,35,5
2006-02-05 00:00:00,-2.8,-6.1,1010.1,290.0,8.8,8.0,0.0,0.0,36,5
2006-02-05 06:00:00,-5.0,-8.3,1009.6,290.0,6.2,8.0,0.0,0.0,36,5
2006-02-11 00:00:00,1.7,-1.7,1017.9,200.0,1.5,8.0,0.0,0.3,42,6
2006-02-11 18:00:00,2.8,-3.9,1017.6,40.0,4.6,7.0,0.0,0.0,42,6
2006-02-12 00:00:00,-0.6,-2.2,1017.8,360.0,3.6,8.0,0.5,1.0,43,6
2006-02-12 06:00:00,-4.4,-6.1,1018.4,300.0,3.1,8.0,0.0,0.0,43,6
2006-02-12 18:00:00,-2.8,-7.2,1018.9,280.0,6.7,8.0,0.0,0.0,43,6
2006-02-13 00:00:00,-5.0,-7.8,1020.2,280.0,6.2,8.0,0.0,0.0,44,7
2006-02-13 06:00:00,-5.6,-7.8,1020.9,270.0,4.6,8.0,0.0,0.0,44,7
2006-02-16 06:00:00,7.8,7.2,1012.1,350.0,2.1,8.0,0.0,2.5,47,7
2006-02-16 12:00:00,3.9,3.3,1011.3,80.0,4.6,8.0,0.0,7.1,47,7
2006-02-16 18:00:00,13.9,11.7,1007.4,190.0,8.2,8.0,0.0,0.0,47,7
2006-02-17 00:00:00,6.7,5.6,1006.5,280.0,8.8,8.0,1.0,2.5,48,7
2006-02-17 06:00:00,-3.3,-5.6,1021.7,310.0,14.4,8.0,0.0,0.5,48,7
2006-02-17 12:00:00,-6.1,-9.4,1032.1,320.0,7.2,7.0,0.0,0.0,48,7
2006-02-18 00:00:00,-4.4,-10.0,1035.6,330.0,7.2,8.0,0.0,0.0,49,7
2006-02-18 12:00:00,-16.7,-23.9,1040.1,340.0,7.2,0.0,0.0,0.0,49,7
2006-03-03 06:00:00,0.0,-5.0,1023.9,340.0,5.7,8.0,0.0,0.0,62,9
2006-03-05 18:00:00,0.0,-1.7,1025.5,140.0,4.1,8.0,0.5,1.8,64,9
2006-03-06 00:00:00,3.3,0.0,1020.2,100.0,2.1,8.0,0.0,0.3,65,10
2006-03-06 06:00:00,1.7,1.1,1018.7,0.0,0.0,8.0,0.0,0.0,65,10
2006-03-07 00:00:00,1.7,-1.1,1024.4,340.0,5.1,8.0,0.0,0.3,66,10
2006-03-08 06:00:00,3.9,0.6,1015.8,120.0,6.7,8.0,0.0,0.3,67,10
2006-03-08 12:00:00,5.0,2.8,1011.3,160.0,6.7,8.0,0.3,9.9,67,10
2006-03-08 18:00:00,7.8,6.7,1007.4,160.0,6.7,8.0,0.0,5.6,67,10
2006-03-09 00:00:00,9.4,8.9,1002.2,150.0,7.7,8.0,0.0,0.5,68,10
2006-03-09 06:00:00,14.4,13.3,997.4,180.0,8.8,8.0,0.0,0.0,68,10
2006-03-09 12:00:00,12.8,11.7,995.9,190.0,8.2,8.0,0.3,14.7,68,10
2006-03-09 18:00:00,12.8,12.2,994.3,190.0,5.1,8.0,1.8,3.8,68,10
2006-03-10 00:00:00,12.8,11.7,987.6,180.0,6.7,8.0,0.0,5.6,69,10
2006-03-10 06:00:00,6.7,6.7,991.3,290.0,9.3,8.0,0.5,7.9,69,10
2006-03-10 12:00:00,5.0,5.0,1004.7,280.0,4.6,8.0,0.0,1.8,69,10
2006-03-11 18:00:00,15.0,12.8,1013.8,140.0,9.3,8.0,0.0,2.3,70,10
2006-03-12 06:00:00,13.3,13.3,1011.8,180.0,3.1,4.0,2.5,29.0,71,10
2006-03-13 12:00:00,16.7,14.4,999.2,220.0,6.2,7.0,0.3,4.8,72,11
2006-03-16 12:00:00,2.2,-2.2,1018.2,110.0,6.2,2.0,0.3,0.3,75,11
2006-03-17 12:00:00,1.1,-1.7,1026.0,30.0,8.2,8.0,0.0,0.0,76,11
2006-03-21 18:00:00,-2.8,-5.6,1016.9,20.0,9.8,8.0,0.0,0.8,80,12
2006-03-22 00:00:00,-1.7,-7.2,1021.3,10.0,9.3,4.0,0.0,0.3,81,12
2006-03-24 12:00:00,0.6,0.0,1021.3,290.0,3.1,8.0,0.0,0.0,83,12
2006-03-24 18:00:00,3.3,-1.7,1021.0,290.0,4.1,8.0,0.0,0.0,83,12
2006-03-25 00:00:00,1.7,-0.6,1021.7,320.0,4.6,7.0,0.0,0.5,84,12
2006-03-26 00:00:00,4.4,-1.7,1024.7,330.0,3.6,8.0,0.0,0.0,85,12
2006-03-28 00:00:00,3.9,2.8,1018.1,120.0,7.2,8.0,0.0,1.5,87,13
2006-03-28 06:00:00,5.6,5.0,1015.0,170.0,4.1,8.0,0.0,3.8,87,13
2006-03-28 12:00:00,5.0,4.4,1016.3,260.0,4.6,8.0,0.0,0.0,87,13
2006-03-28 18:00:00,7.2,6.1,1020.5,320.0,4.6,8.0,0.0,0.5,87,13
2006-03-31 12:00:00,14.4,13.3,1008.9,200.0,8.2,0.0,0.0,2.3,90,13
2006-04-02 18:00:00,12.2,9.4,1010.2,150.0,7.2,2.0,0.0,2.8,92,13
2006-04-03 00:00:00,17.8,15.0,1002.0,160.0,6.7,8.0,0.0,0.8,93,14
2006-04-03 06:00:00,10.6,8.3,1001.1,190.0,4.6,0.0,0.0,6.9,93,14
2006-04-03 12:00:00,6.7,6.1,1004.7,280.0,11.3,8.0,0.5,2.0,93,14
2006-04-03 18:00:00,7.2,3.9,1015.2,300.0,8.8,8.0,0.0,0.8,93,14
2006-04-06 12:00:00,9.4,7.8,1009.4,140.0,5.1,8.0,0.8,0.8,96,14
2006-04-06 18:00:00,12.2,11.7,1003.9,150.0,9.3,8.0,1.0,21.3,96,14
2006-04-07 00:00:00,11.7,11.1,1003.1,130.0,6.2,8.0,3.8,8.9,97,14
2006-04-07 06:00:00,13.3,12.2,1000.7,150.0,5.1,8.0,0.0,1.5,97,14
2006-04-07 12:00:00,12.2,11.1,998.7,200.0,5.1,0.0,0.0,0.3,97,14
2006-04-12 06:00:00,18.3,10.6,1013.0,170.0,9.8,2.0,0.0,0.0,102,15
2006-04-12 12:00:00,16.7,10.0,1013.3,200.0,9.3,8.0,0.0,0.0,102,15
2006-04-14 06:00:00,21.1,16.1,1007.2,190.0,8.8,8.0,1.3,1.5,104,15
2006-04-14 12:00:00,17.8,15.0,1007.4,240.0,5.1,0.0,0.0,0.8,104,15
2006-04-15 06:00:00,17.2,16.1,1003.5,260.0,2.1,2.0,0.0,0.0,105,15
2006-04-16 06:00:00,17.2,13.9,1003.4,100.0,7.7,7.0,0.0,0.0,106,15
2006-04-16 12:00:00,16.1,14.4,1001.8,100.0,5.1,8.0,0.0,0.3,106,15
2006-04-17 00:00:00,18.9,17.2,997.6,0.0,0.0,4.0,5.1,33.5,107,16
2006-04-19 12:00:00,10.6,9.4,1010.1,0.0,0.0,0.0,0.0,8.1,109,16
2006-04-25 12:00:00,6.7,3.9,1013.3,40.0,9.3,8.0,0.3,0.3,115,17
2006-04-25 18:00:00,5.6,4.4,1015.6,40.0,8.8,8.0,0.8,3.0,115,17
2006-04-29 12:00:00,12.2,6.1,1020.1,130.0,6.2,8.0,0.0,0.0,119,17
2006-04-29 18:00:00,12.8,10.0,1017.9,110.0,9.8,2.0,0.3,1.0,119,17
2006-04-30 00:00:00,16.7,11.1,1014.7,120.0,9.3,8.0,0.0,0.0,120,17
2006-04-30 06:00:00,14.4,11.7,1013.2,120.0,9.8,8.0,0.3,1.3,120,17
2006-04-30 12:00:00,13.3,10.6,1011.1,140.0,12.4,8.0,0.3,5.6,120,17
2006-04-30 18:00:00,13.9,10.6,1012.3,140.0,10.3,8.0,0.0,0.8,120,17
2006-05-01 00:00:00,12.2,9.4,1014.2,150.0,6.2,8.0,4.1,3.8,121,18
2006-05-01 06:00:00,11.7,10.6,1015.9,160.0,7.7,7.0,0.0,1.3,121,18
2006-05-01 12:00:00,11.7,10.6,1016.8,160.0,7.2,8.0,0.0,0.0,121,18
2006-05-02 00:00:00,15.6,13.3,1017.0,160.0,5.7,8.0,0.0,0.0,122,18
2006-05-02 06:00:00,14.4,13.9,1014.4,160.0,3.1,8.0,1.5,7.1,122,18
2006-05-02 12:00:00,12.2,11.1,1015.2,290.0,3.6,4.0,0.0,0.0,122,18
2006-05-02 18:00:00,19.4,10.6,1015.5,310.0,5.7,4.0,0.0,0.3,122,18
2006-05-04 00:00:00,20.6,12.8,1013.8,230.0,3.1,2.0,0.0,1.0,124,18
2006-05-09 06:00:00,13.3,8.9,1011.8,160.0,4.1,0.0,0.0,0.0,129,19
2006-05-11 00:00:00,14.4,12.2,1002.4,40.0,3.1,7.0,0.0,5.6,131,19
2006-05-11 06:00:00,12.2,11.7,1002.7,290.0,4.6,8.0,2.3,10.2,131,19
2006-05-11 12:00:00,11.1,7.2,1001.4,280.0,6.7,2.0,0.0,1.5,131,19
2006-05-11 18:00:00,16.1,6.1,1001.1,270.0,12.9,7.0,0.0,0.3,131,19
2006-05-12 00:00:00,13.3,6.1,1000.7,280.0,9.8,7.0,0.0,0.0,132,19
2006-05-12 06:00:00,8.3,4.4,1000.3,280.0,10.8,8.0,0.0,0.0,132,19
2006-05-12 12:00:00,6.1,3.9,1000.1,280.0,7.2,8.0,0.0,3.0,132,19
2006-05-13 00:00:00,8.3,5.6,1004.3,260.0,6.7,8.0,0.0,0.3,133,19
2006-05-13 12:00:00,5.6,5.0,1004.6,300.0,4.1,8.0,0.5,1.0,133,19
2006-05-13 18:00:00,8.3,4.4,1007.1,290.0,5.1,8.0,0.0,0.3,133,19
2006-05-14 00:00:00,8.3,5.0,1009.1,290.0,5.7,8.0,0.0,0.0,134,19
