Date,TMAX,TMIN,WMAX,RTOT
1/1/2010,-11.26,-16.46,7.323933369,0.05
1/2/2010,-10.16,-15.96,4.687216658,0
1/3/2010,-9.96,-14.36,5.941380311,0.06
1/4/2010,-8.46,-12.86,5.685068161,0.17
1/5/2010,-7.16,-11.06,3.794733192,0.77
1/6/2010,-5.46,-7.46,9.548298278,7.1
1/7/2010,-3.46,-13.66,8.645229899,1.34
1/8/2010,-8.56,-13.96,4.441846463,0.03
1/9/2010,-7.26,-15.26,7.424957912,0
1/10/2010,-2.86,-7.86,6.93108938,1
1/11/2010,-3.86,-7.96,6.16116872,0.19
1/12/2010,0.34,-7.56,6.673080248,0
1/13/2010,1.24,-3.26,5.724508713,0.87
1/14/2010,1.64,-1.76,3.132091953,0.33
1/15/2010,2.54,-1.96,2.4,0
1/16/2010,2.44,-1.76,3.413209633,0
1/17/2010,2.34,-2.96,3.4525353,0.32
1/18/2010,1.44,-3.66,3.623534186,0
1/19/2010,1.34,-4.06,7.665507159,6.3
1/20/2010,2.54,0.74,8.367197858,4.14
1/21/2010,2.64,0.64,5.830951895,0.6
1/22/2010,7.84,1.84,8.883692926,16.29
1/23/2010,7.34,-0.56,12.18277472,18.15
1/24/2010,-0.06,-4.46,9.865596789,3.04
1/25/2010,-4.46,-6.86,9.408506789,0.81
1/26/2010,-0.66,-8.06,6.964194139,0.15
1/27/2010,-2.66,-10.86,6.93108938,0
1/28/2010,-8.06,-11.56,5.590169944,0
1/29/2010,-4.46,-9.56,5.51724569,0
1/30/2010,-1.86,-9.46,4.491102315,0
1/31/2010,0.24,-7.96,3.640054945,0.02
2/1/2010,1.24,-2.26,4.609772229,0.64
2/2/2010,0.54,-3.86,4.9979996,0.12
2/3/2010,-0.06,-4.16,6.315061362,1.82
2/4/2010,0.44,-1.06,8.275868534,9.19
2/5/2010,-1.16,-8.76,10.21812116,0.51
2/6/2010,-3.16,-8.56,2.823118843,0
2/7/2010,-2.96,-10.76,5.008991915,2.26
2/8/2010,-3.46,-5.96,10.68269629,8.65
2/9/2010,-4.26,-7.86,10.81896483,0.98
2/10/2010,-2.46,-14.06,3.969886648,0.02
2/11/2010,-3.56,-14.26,3.178049716,0.05
2/12/2010,-2.76,-12.36,3.413209633,0
2/13/2010,-2.06,-13.76,4.588027899,0
2/14/2010,-4.16,-7.56,7.357309291,1.86
2/15/2010,-1.86,-5.76,7.102112362,1.68
2/16/2010,-2.46,-5.66,5.374011537,0.91
2/17/2010,0.84,-6.16,4.846648326,0.24
2/18/2010,0.94,-7.36,3.676955262,1.45
2/19/2010,1.44,-1.76,4.110960958,0.92
2/20/2010,1.04,0.54,5.300943312,11.5
2/21/2010,1.34,-0.66,7.463243263,2.78
2/22/2010,1.24,-3.36,4.661544808,2.08
2/23/2010,-2.36,-6.06,8.472307832,1.56
2/24/2010,-2.16,-8.26,7.993122043,0.69
2/25/2010,-0.36,-8.46,7.150524456,0
2/26/2010,0.24,-5.36,5.813776741,0.81
2/27/2010,1.94,-1.16,5.185556865,0.58
2/28/2010,1.94,-1.76,5.100980298,0.58
3/1/2010,1.24,-2.66,6.400781202,0.63
3/2/2010,2.34,-3.46,5.141984053,0.15
3/3/2010,4.04,-3.26,4.301162634,0.01
3/4/2010,5.14,-2.96,2.842534081,0
3/5/2010,8.54,-2.26,3.471310992,0
3/6/2010,5.04,-0.36,6.007495318,4.14
3/7/2010,10.74,2.64,3.224903099,0.17
3/8/2010,8.74,3.44,6.276941931,3.61
3/9/2010,17.04,8.84,7.653757247,3.58
3/10/2010,13.24,7.84,7.46860094,9.8
3/11/2010,11.64,3.64,12.66214832,13.66
3/12/2010,10.24,4.54,6.603786792,2.76
3/13/2010,6.24,4.14,7.300684899,1.33
3/14/2010,6.54,3.04,5.008991915,0.55
3/15/2010,13.04,2.64,3.2984845,0
3/16/2010,13.24,2.64,3.801315562,0
3/17/2010,15.14,3.44,4.767598976,0
3/18/2010,14.44,5.44,5.093132631,0
3/19/2010,7.44,1.64,7.961155695,2.77
3/20/2010,10.14,2.04,8.198780397,2.5
3/21/2010,9.24,4.24,8.160882305,0.87
3/22/2010,14.14,0.94,4.464302857,0
3/23/2010,13.44,5.24,4.504442252,2.11
3/24/2010,9.94,-1.56,9.527329112,31.43
3/25/2010,6.44,-3.36,6.236986452,0
3/26/2010,10.64,-0.26,5.032891813,2.55
3/27/2010,9.44,1.14,7.400675645,24.17
3/28/2010,10.34,-0.46,6.519202405,0
3/29/2010,14.84,1.74,5.048762225,0
3/30/2010,19.34,8.54,8.008120878,0
3/31/2010,21.24,10.94,7.766595136,0
4/1/2010,20.74,12.64,8.584287973,0
4/2/2010,14.74,7.64,7.343704787,12.13
4/3/2010,20.34,7.24,8.050465825,3.29
4/4/2010,22.64,15.04,9.090654542,1.3
4/5/2010,22.54,16.74,9.484724561,0.7
4/6/2010,18.14,7.04,7.787810989,8.94
4/7/2010,9.94,4.14,7.605918748,0.66
4/8/2010,12.64,2.84,4.243819035,0
4/9/2010,18.84,6.54,6.774215822,0
4/10/2010,20.64,10.14,4.143669871,1.87
4/11/2010,21.84,10.64,4.404543109,0
4/12/2010,24.34,12.34,4.617358552,0
4/13/2010,24.84,12.64,4.301162634,0
4/14/2010,24.84,14.44,6.594694838,0
4/15/2010,18.04,7.94,6.777905281,2.9
4/16/2010,13.44,4.24,5.745432969,0
4/17/2010,14.34,3.74,3.405877273,0
4/18/2010,15.94,3.94,2.780287755,0
4/19/2010,17.44,8.04,2.416609195,0
4/20/2010,19.54,8.14,2.58069758,0
4/21/2010,20.14,10.64,2.765863337,1.08
4/22/2010,13.64,10.34,8.158431222,41.73
4/23/2010,18.34,12.54,11.54339638,17.02
4/24/2010,13.24,7.84,8.570880935,9.95
4/25/2010,15.04,5.64,7.170076708,0.47
4/26/2010,12.94,2.74,5.597320788,0.22
4/27/2010,15.84,2.34,4.788527958,0
4/28/2010,21.54,9.04,9.912618221,0
4/29/2010,21.54,15.54,8.905054744,6.74
4/30/2010,24.34,13.04,9.192388155,40.56
5/1/2010,20.34,10.14,5.1623638,10.71
5/2/2010,21.94,11.94,7.220110802,1.69
5/3/2010,21.84,11.24,6.51459899,0
5/4/2010,22.44,11.74,5.508175742,0.19
5/5/2010,19.74,9.64,4.601086828,0.81
5/6/2010,21.64,8.14,7.397972695,7.81
5/7/2010,8.94,3.64,7.907591289,0.1
5/8/2010,14.94,2.94,2.745906044,0
5/9/2010,14.54,6.54,7.99812478,7.37
5/10/2010,19.24,9.04,9.047651629,23.52
5/11/2010,20.94,10.14,5.011985634,2.13
5/12/2010,25.04,15.24,6.847627326,14.24
5/13/2010,19.84,10.14,5.015974482,0.31
5/14/2010,19.94,10.84,3.92173431,0.64
5/15/2010,15.14,11.84,5.727128425,2.55
5/16/2010,11.64,10.14,5.930430001,38.44
5/17/2010,11.74,8.44,4.903060269,0.54
5/18/2010,19.04,10.94,5.325410782,0.11
5/19/2010,15.54,12.04,6.260990337,13.87
5/20/2010,21.34,15.24,5.456189146,17.12
5/21/2010,25.34,15.34,3.544009029,0.17
5/22/2010,29.94,16.94,4.726520919,0
5/23/2010,29.54,20.74,3.661966685,1.81
5/24/2010,28.14,18.94,2.817800561,4.84
