Date,DWPC,HCLD,LCLD,MCLD,PRCP,PRES,TMPC,UWND,VWND,WSPD
1/2/2010,-13.74,0,100,1,0,1000,-11.26,4.3,-5.4,6.902897942
1/2/2010,-15.19,0,100,0,0.04,1000.4,-12.66,4.9,-5.3,7.218032973
1/2/2010,-17.91,0,100,0,0.01,1000.7,-14.76,4.2,-6,7.323933369
1/2/2010,-20.07,0,8,0,0,1002,-15.76,4.3,-4.5,6.224146528
1/2/2010,-18.81,0,2,0,0,1001.3,-13.86,4.6,-4,6.095900262
1/2/2010,-17.79,0,2,0,0,999.8,-13.36,3.6,-5,6.16116872
1/3/2010,-18.55,0,2,0,0,1000.6,-15.26,2.1,-4.8,5.239274759
1/3/2010,-19.36,0,4,0,0,1000.9,-16.06,2.1,-4.1,4.606517123
1/3/2010,-19.79,0,6,0,0,1000.8,-16.46,2,-2.9,3.522782991
1/3/2010,-18.27,0,0,0,0,1001.8,-15.36,1.5,-3.1,3.443835072
1/3/2010,-18.54,1,4,0,0,1001.7,-15.76,2.2,-2.5,3.330165161
1/3/2010,-18.81,9,6,0,0,1001.6,-15.96,2.5,-3,3.905124838
1/3/2010,-18.41,42,7,1,0,1001.6,-14.76,1.5,-3.9,4.178516483
1/3/2010,-15.09,6,5,1,0,1000.5,-10.66,2.1,-2.9,3.580502758
1/3/2010,-14.21,1,6,0,0,999.9,-10.16,3.6,-3,4.686149806
1/4/2010,-16.71,0,0,0,0,999.9,-13.86,2.4,-3.7,4.410215414
1/4/2010,-16.84,0,4,0,0,999.2,-14.26,3.1,-3.5,4.675467891
1/4/2010,-15.51,0,8,0,0,999.8,-13.66,2.7,-3.5,4.420407221
1/4/2010,-15.94,0,8,0,0,999.5,-14.06,3.4,-3.5,4.87954916
1/4/2010,-16.27,0,6,0,0,999.3,-14.36,3.9,-3.7,5.375872022
1/4/2010,-15.94,1,13,1,0,999.1,-13.46,4,-4.3,5.872818744
1/4/2010,-13.67,9,5,21,0,997.9,-10.56,4.3,-4.1,5.941380311
1/4/2010,-12.63,70,14,91,0,996.8,-9.96,4.4,-3.9,5.879625838
1/5/2010,-13.23,90,86,73,0,997.2,-11.46,4.3,-3.8,5.738466694
1/5/2010,-13.51,95,99,86,0.03,996.9,-11.66,3.9,-4.2,5.731491952
1/5/2010,-13.59,91,99,67,0,997,-11.86,4.3,-3.6,5.608029957
1/5/2010,-13.88,97,101,96,0.03,996.5,-11.96,3.9,-3.6,5.307541804
1/5/2010,-14.16,94,100,65,0.02,996.2,-12.46,4.4,-3.6,5.685068161
1/5/2010,-14.64,50,100,15,0.03,996.5,-12.86,4,-3.5,5.315072906
1/5/2010,-14.24,6,100,0,0.03,997.3,-12.16,3.9,-3.1,4.981967483
1/5/2010,-11.73,0,98,0,0.01,996.8,-9.36,4.6,-2.7,5.333854141
1/5/2010,-10.75,0,96,0,0.03,995.6,-8.46,4.3,-3,5.243090692
1/6/2010,-11.43,0,100,0,0.03,996.1,-9.86,3.7,-3.4,5.024937811
1/6/2010,-12.14,0,100,0,0.02,996.1,-10.36,2.8,-3.2,4.252058325
1/6/2010,-13.25,0,76,0,0,995.9,-11.66,2.7,-2.2,3.482814953
1/6/2010,-11.12,0,100,0,0,995.8,-9.86,2.8,-2,3.440930107
1/6/2010,-11.82,0,100,0,0.05,995.8,-10.36,3.3,-1.4,3.584689666
1/6/2010,-12.56,0,100,0,0.04,996,-11.06,3.6,-1.2,3.794733192
1/6/2010,-12.39,20,99,4,0,995.9,-10.76,2.2,-1.6,2.720294102
1/6/2010,-10.25,2,49,16,0,995,-7.86,2.3,-0.3,2.319482701
1/6/2010,-9.45,48,1,33,0,992.7,-7.16,1.8,-0.1,1.802775638
1/7/2010,-10.07,90,68,100,0.02,992.5,-8.66,0.1,0.1,0.141421356
1/7/2010,-9.4,100,100,100,0.66,991.7,-8.06,0.7,0.1,0.707106781
1/7/2010,-8.48,100,99,100,0,992.5,-7.46,0.7,1,1.220655562
1/7/2010,-8.26,100,100,100,1.27,990.2,-7.46,-0.5,2.1,2.158703314
1/7/2010,-7.98,98,100,100,1.11,988.1,-7.26,-0.7,2.4,2.5
1/7/2010,-7.3,84,100,100,2.06,986.5,-6.66,0.7,1.3,1.476482306
1/7/2010,-6.97,2,100,72,0.79,985.9,-5.96,3.6,-2.5,4.3829214
1/7/2010,-7.72,1,100,8,0.43,985.7,-6.56,5.2,-2.9,5.953990259
1/8/2010,-8.24,1,100,36,0.24,986.8,-7.36,5.2,-1.3,5.360037313
1/8/2010,-6.13,0,100,31,0.67,987,-5.46,5.3,-4.4,6.88839604
1/8/2010,-6.92,0,100,5,0.53,989.6,-6.06,6.9,-6.6,9.548298278
1/8/2010,-9.18,0,98,6,0,987.6,-8.26,3.2,-2.9,4.318564576
1/8/2010,-8.78,0,92,0,0.25,988.8,-7.96,5.3,-2,5.664803615
1/8/2010,-4.15,0,100,0,0.63,990.7,-3.46,2.7,-7.2,7.689603371
1/8/2010,-6.41,2,100,1,0.18,994.4,-5.56,4.3,-7.5,8.645229899
1/8/2010,-7.23,26,100,1,0.1,996.1,-6.36,4,-7.1,8.149233093
1/8/2010,-8.17,34,100,0,0.08,997.2,-7.16,3.8,-5.6,6.767569726
1/9/2010,-10.2,16,100,0,0.07,999,-9.16,2.6,-5,5.635601121
1/9/2010,-12.09,4,100,0,0.02,1000,-10.96,2.1,-3.8,4.341658669
1/9/2010,-15.08,6,54,0,0.01,1000.8,-13.66,2.6,-3.3,4.201190308
1/9/2010,-11.59,0,100,0,0,1001.6,-9.86,2.3,-3.8,4.441846463
1/9/2010,-12.74,0,100,0,0.02,1001.7,-11.16,2.5,-3.6,4.3829214
1/9/2010,-13.99,0,100,0,0.01,1002.3,-12.36,2.4,-3.4,4.161730409
1/9/2010,-14.16,0,100,0,0,1003.7,-12.36,2.4,-3.5,4.243819035
1/9/2010,-11.49,0,46,0,0,1003.4,-9.06,2.3,-2.8,3.623534186
1/9/2010,-10.81,0,9,0,0,1003,-8.56,2.9,-3.3,4.393176527
1/10/2010,-13.33,0,5,0,0,1004.2,-11.86,2.5,-2.8,3.753664876
1/10/2010,-15.14,0,2,0,0,1004.9,-13.26,2.3,-2.4,3.324154028
1/10/2010,-17.23,0,3,0,0,1005.7,-15.26,1.8,-2.1,2.765863337
1/10/2010,-16.1,0,0,0,0,1004.7,-13.96,2.8,-1.5,3.176476035
1/10/2010,-17.23,0,0,0,0,1005.6,-15.16,2.6,-1.4,2.952964612
1/10/2010,-16.89,0,0,0,0,1004.9,-14.96,3.3,0.1,3.301514804
1/10/2010,-14.64,0,0,0,0,1004.4,-12.56,3.4,1.2,3.605551275
1/10/2010,-10.66,0,0,0,0,1003.1,-8.36,3.5,3.2,4.742362281
1/10/2010,-9.09,20,0,0,0,1000.4,-7.26,4.2,4.3,6.010823571
1/11/2010,-10.78,2,0,6,0,999.2,-9.56,3.3,5.7,6.58634952
1/11/2010,-10.36,80,0,62,0,997.9,-9.16,4.3,5.3,6.824954212
1/11/2010,-9.09,100,26,99,0,995,-7.86,4.8,5,6.93108938
1/11/2010,-8.45,68,0,100,0,994.9,-7.26,5.3,5.2,7.424957912
1/11/2010,-7.62,84,100,66,0.32,993.1,-6.56,5.8,2.9,6.484597135
1/11/2010,-6.71,100,100,100,0.15,992.6,-5.96,4.6,1,4.707440918
1/11/2010,-5.18,92,100,100,0.12,993,-4.56,4.3,-0.4,4.318564576
1/11/2010,-4.06,94,100,100,0.2,993.8,-2.86,3.3,-4.2,5.341348144
1/11/2010,-5.26,29,100,21,0.12,994.7,-4.06,2.1,-5.4,5.793962375
1/12/2010,-6.51,3,100,1,0.02,999.4,-5.66,2.3,-5.2,5.68594759
1/12/2010,-6.39,1,100,1,0,1000,-5.66,3.6,-5,6.16116872
